								
Compare cell means regardless of rows and columns								
								
Number of families	1							
Number of comparisons per family	528							
Alpha	0/05							
								
Tukey's multiple comparisons test	Mean Diff/	95/00% CI of diff/	Significant?	Summary	Adjusted P Value			
  20:72h vs. 40:24h	19/32	-96/27 to 134/9	No	ns	>0/9999			
  20:72h vs. 40:48h	18/71	-96/88 to 134/3	No	ns	>0/9999			
  20:72h vs. 40:72h	10/29	-105/3 to 125/9	No	ns	>0/9999			
  20:72h vs. 50:24h	22/77	-92/83 to 138/4	No	ns	>0/9999			
  20:72h vs. 50:48h	20/25	-95/35 to 135/8	No	ns	>0/9999			
  20:72h vs. 50:72h	13/24	-102/4 to 128/8	No	ns	>0/9999			
  20:72h vs. 60:24h	24/49	-91/10 to 140/1	No	ns	>0/9999			
  20:72h vs. 60:48h	20/25	-95/35 to 135/8	No	ns	>0/9999			
  20:72h vs. 60:72h	17/65	-97/95 to 133/2	No	ns	>0/9999			
  20:72h vs. 70:24h	27/94	-87/65 to 143/5	No	ns	>0/9999			
  20:72h vs. 70:48h	23/33	-92/27 to 138/9	No	ns	>0/9999			
  20:72h vs. 70:72h	20/59	-95/01 to 136/2	No	ns	>0/9999			
  20:72h vs. 80:24h	29/67	-85/93 to 145/3	No	ns	>0/9999			
  20:72h vs. 80:48h	21/79	-93/81 to 137/4	No	ns	>0/9999			
  20:72h vs. 80:72h	20/59	-95/01 to 136/2	No	ns	>0/9999			
  20:72h vs. 90:24h	27/94	-87/65 to 143/5	No	ns	>0/9999			
  20:72h vs. 90:48h	23/33	-92/27 to 138/9	No	ns	>0/9999			
  20:72h vs. 90:72h	27/94	-87/65 to 143/5	No	ns	>0/9999			
  20:72h vs. 100:24h	27/94	-87/65 to 143/5	No	ns	>0/9999			
  20:72h vs. 100:48h	26/40	-89/19 to 142/0	No	ns	>0/9999			
  20:72h vs. 100:72h	27/94	-87/65 to 143/5	No	ns	>0/9999			
  30:24h vs. 30:48h	-3/687	-119/3 to 111/9	No	ns	>0/9999			
  30:24h vs. 30:72h	-9/026	-124/6 to 106/6	No	ns	>0/9999			
  30:24h vs. 40:24h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  30:24h vs. 40:48h	-0/6101	-116/2 to 115/0	No	ns	>0/9999			
  30:24h vs. 40:72h	-9/026	-124/6 to 106/6	No	ns	>0/9999			
  30:24h vs. 50:24h	3/448	-112/1 to 119/0	No	ns	>0/9999			
  30:24h vs. 50:48h	0/9284	-114/7 to 116/5	No	ns	>0/9999			
  30:24h vs. 50:72h	-6/085	-121/7 to 109/5	No	ns	>0/9999			
  30:24h vs. 60:24h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  30:24h vs. 60:48h	0/9284	-114/7 to 116/5	No	ns	>0/9999			
  30:24h vs. 60:72h	-1/673	-117/3 to 113/9	No	ns	>0/9999			
  30:24h vs. 70:24h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  30:24h vs. 70:48h	4/005	-111/6 to 119/6	No	ns	>0/9999			
  30:24h vs. 70:72h	1/268	-114/3 to 116/9	No	ns	>0/9999			
  30:24h vs. 80:24h	10/34	-105/2 to 125/9	No	ns	>0/9999			
  30:24h vs. 80:48h	2/467	-113/1 to 118/1	No	ns	>0/9999			
  30:24h vs. 80:72h	1/268	-114/3 to 116/9	No	ns	>0/9999			
  30:24h vs. 90:24h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  30:24h vs. 90:48h	4/005	-111/6 to 119/6	No	ns	>0/9999			
  30:24h vs. 90:72h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  30:24h vs. 100:24h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  30:24h vs. 100:48h	7/082	-108/5 to 122/7	No	ns	>0/9999			
  30:24h vs. 100:72h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  30:48h vs. 30:72h	-5/339	-120/9 to 110/3	No	ns	>0/9999			
  30:48h vs. 40:24h	3/687	-111/9 to 119/3	No	ns	>0/9999			
  30:48h vs. 40:48h	3/077	-112/5 to 118/7	No	ns	>0/9999			
  30:48h vs. 40:72h	-5/339	-120/9 to 110/3	No	ns	>0/9999			
  30:48h vs. 50:24h	7/135	-108/5 to 122/7	No	ns	>0/9999			
