								
Compare cell means regardless of rows and columns								
								
Number of families	1							
Number of comparisons per family	528							
Alpha	0/05							
								
Tukey's multiple comparisons test	Mean Diff/	95/00% CI of diff/	Significant?	Summary	Adjusted P Value			
  60:48h vs. 80:24h	107/7	98/28	9/416	29/11	3	3	0/4575	66/00
  60:48h vs. 80:48h	107/7	106/2	1/538	29/11	3	3	0/07474	66/00
  60:48h vs. 80:72h	107/7	107/4	0/3394	29/11	3	3	0/01649	66/00
  60:48h vs. 90:24h	107/7	100/0	7/692	29/11	3	3	0/3737	66/00
  60:48h vs. 90:48h	107/7	104/6	3/077	29/11	3	3	0/1495	66/00
  60:48h vs. 90:72h	107/7	100/0	7/692	29/11	3	3	0/3737	66/00
  60:48h vs. 100:24h	107/7	100/0	7/692	29/11	3	3	0/3737	66/00
  60:48h vs. 100:48h	107/7	101/5	6/154	29/11	3	3	0/2990	66/00
  60:48h vs. 100:72h	107/7	100/0	7/692	29/11	3	3	0/3737	66/00
  60:72h vs. 70:24h	110/3	100/0	10/29	29/11	3	3	0/5001	66/00
  60:72h vs. 70:48h	110/3	104/6	5/679	29/11	3	3	0/2759	66/00
  60:72h vs. 70:72h	110/3	107/4	2/941	29/11	3	3	0/1429	66/00
  60:72h vs. 80:24h	110/3	98/28	12/02	29/11	3	3	0/5839	66/00
  60:72h vs. 80:48h	110/3	106/2	4/140	29/11	3	3	0/2011	66/00
  60:72h vs. 80:72h	110/3	107/4	2/941	29/11	3	3	0/1429	66/00
  60:72h vs. 90:24h	110/3	100/0	10/29	29/11	3	3	0/5001	66/00
  60:72h vs. 90:48h	110/3	104/6	5/679	29/11	3	3	0/2759	66/00
  60:72h vs. 90:72h	110/3	100/0	10/29	29/11	3	3	0/5001	66/00
  60:72h vs. 100:24h	110/3	100/0	10/29	29/11	3	3	0/5001	66/00
  60:72h vs. 100:48h	110/3	101/5	8/756	29/11	3	3	0/4254	66/00
  60:72h vs. 100:72h	110/3	100/0	10/29	29/11	3	3	0/5001	66/00
  70:24h vs. 70:48h	100/0	104/6	-4/615	29/11	3	3	0/2242	66/00
  70:24h vs. 70:72h	100/0	107/4	-7/353	29/11	3	3	0/3572	66/00
  70:24h vs. 80:24h	100/0	98/28	1/724	29/11	3	3	0/08376	66/00
  70:24h vs. 80:48h	100/0	106/2	-6/154	29/11	3	3	0/2990	66/00
  70:24h vs. 80:72h	100/0	107/4	-7/353	29/11	3	3	0/3572	66/00
  70:24h vs. 90:24h	100/0	100/0	0/000	29/11	3	3	0/000	66/00
  70:24h vs. 90:48h	100/0	104/6	-4/615	29/11	3	3	0/2242	66/00
  70:24h vs. 90:72h	100/0	100/0	2/000e-005	29/11	3	3	9/717e-007	66/00
  70:24h vs. 100:24h	100/0	100/0	0/000	29/11	3	3	0/000	66/00
  70:24h vs. 100:48h	100/0	101/5	-1/538	29/11	3	3	0/07474	66/00
  70:24h vs. 100:72h	100/0	100/0	2/000e-005	29/11	3	3	9/717e-007	66/00
  70:48h vs. 70:72h	104/6	107/4	-2/738	29/11	3	3	0/1330	66/00
  70:48h vs. 80:24h	104/6	98/28	6/340	29/11	3	3	0/3080	66/00
  70:48h vs. 80:48h	104/6	106/2	-1/538	29/11	3	3	0/07474	66/00
  70:48h vs. 80:72h	104/6	107/4	-2/738	29/11	3	3	0/1330	66/00
  70:48h vs. 90:24h	104/6	100/0	4/615	29/11	3	3	0/2242	66/00
  70:48h vs. 90:48h	104/6	104/6	0/000	29/11	3	3	0/000	66/00
  70:48h vs. 90:72h	104/6	100/0	4/615	29/11	3	3	0/2242	66/00
  70:48h vs. 100:24h	104/6	100/0	4/615	29/11	3	3	0/2242	66/00
  70:48h vs. 100:48h	104/6	101/5	3/077	29/11	3	3	0/1495	66/00
  70:48h vs. 100:72h	104/6	100/0	4/615	29/11	3	3	0/2242	66/00
  70:72h vs. 80:24h	107/4	98/28	9/077	29/11	3	3	0/4410	66/00
  70:72h vs. 80:48h	107/4	106/2	1/199	29/11	3	3	0/05826	66/00
  70:72h vs. 80:72h	107/4	107/4	0/000	29/11	3	3	0/000	66/00
  70:72h vs. 90:24h	107/4	100/0	7/353	29/11	3	3	0/3572	66/00
  70:72h vs. 90:48h	107/4	104/6	2/738	29/11	3	3	0/1330	66/00
  70:72h vs. 90:72h	107/4	100/0	7/353	29/11	3	3	0/3572	66/00
  70:72h vs. 100:24h	107/4	100/0	7/353	29/11	3	3	0/3572	66/00
  70:72h vs. 100:48h	107/4	101/5	5/814	29/11	3	3	0/2825	66/00
  70:72h vs. 100:72h	107/4	100/0	7/353	29/11	3	3	0/3572	66/00
  80:24h vs. 80:48h	98/28	106/2	-7/878	29/11	3	3	0/3827	66/00
  80:24h vs. 80:72h	98/28	107/4	-9/077	29/11	3	3	0/4410	66/00
  80:24h vs. 90:24h	98/28	100/0	-1/724	29/11	3	3	0/08376	66/00
  80:24h vs. 90:48h	98/28	104/6	-6/340	29/11	3	3	0/3080	66/00
  80:24h vs. 90:72h	98/28	100/0	-1/724	29/11	3	3	0/08376	66/00
  80:24h vs. 100:24h	98/28	100/0	-1/724	29/11	3	3	0/08376	66/00
  80:24h vs. 100:48h	98/28	101/5	-3/263	29/11	3	3	0/1585	66/00
  80:24h vs. 100:72h	98/28	100/0	-1/724	29/11	3	3	0/08376	66/00
  80:48h vs. 80:72h	106/2	107/4	-1/199	29/11	3	3	0/05826	66/00
  80:48h vs. 90:24h	106/2	100/0	6/154	29/11	3	3	0/2990	66/00
  80:48h vs. 90:48h	106/2	104/6	1/538	29/11	3	3	0/07474	66/00
  80:48h vs. 90:72h	106/2	100/0	6/154	29/11	3	3	0/2990	66/00
  80:48h vs. 100:24h	106/2	100/0	6/154	29/11	3	3	0/2990	66/00
  80:48h vs. 100:48h	106/2	101/5	4/615	29/11	3	3	0/2242	66/00
  80:48h vs. 100:72h	106/2	100/0	6/154	29/11	3	3	0/2990	66/00
  80:72h vs. 90:24h	107/4	100/0	7/353	29/11	3	3	0/3572	66/00
  80:72h vs. 90:48h	107/4	104/6	2/738	29/11	3	3	0/1330	66/00
  80:72h vs. 90:72h	107/4	100/0	7/353	29/11	3	3	0/3572	66/00
  80:72h vs. 100:24h	107/4	100/0	7/353	29/11	3	3	0/3572	66/00
  80:72h vs. 100:48h	107/4	101/5	5/814	29/11	3	3	0/2825	66/00
  80:72h vs. 100:72h	107/4	100/0	7/353	29/11	3	3	0/3572	66/00
  90:24h vs. 90:48h	100/0	104/6	-4/615	29/11	3	3	0/2242	66/00
  90:24h vs. 90:72h	100/0	100/0	2/000e-005	29/11	3	3	9/717e-007	66/00
  90:24h vs. 100:24h	100/0	100/0	0/000	29/11	3	3	0/000	66/00
  90:24h vs. 100:48h	100/0	101/5	-1/538	29/11	3	3	0/07474	66/00
  90:24h vs. 100:72h	100/0	100/0	2/000e-005	29/11	3	3	9/717e-007	66/00
  90:48h vs. 90:72h	104/6	100/0	4/615	29/11	3	3	0/2242	66/00
  90:48h vs. 100:24h	104/6	100/0	4/615	29/11	3	3	0/2242	66/00
  90:48h vs. 100:48h	104/6	101/5	3/077	29/11	3	3	0/1495	66/00
  90:48h vs. 100:72h	104/6	100/0	4/615	29/11	3	3	0/2242	66/00
  90:72h vs. 100:24h	100/0	100/0	-2/000e-005	29/11	3	3	9/717e-007	66/00
  90:72h vs. 100:48h	100/0	101/5	-1/538	29/11	3	3	0/07474	66/00
  90:72h vs. 100:72h	100/0	100/0	0/000	29/11	3	3	0/000	66/00
  100:24h vs. 100:48h	100/0	101/5	-1/538	29/11	3	3	0/07474	66/00
  100:24h vs. 100:72h	100/0	100/0	2/000e-005	29/11	3	3	9/717e-007	66/00
  100:48h vs. 100:72h	101/5	100/0	1/538	29/11	3	3	0/07474	66/00
